dataset,mass_count,half_period_s,rpm_meter
D1,1,6.7,1957
D1,1,7,1670
D1,1,5.6,1778
D1,1,5.7,1627
D1,1,5.7,1565
D1,1,5.4,1478
D1,1,5.2,1549
D1,1,5.8,1405
D1,1,5,1426
D1,1,4.7,1292
D2,1,11.4,3257
D2,1,10.6,3178
D2,1,14.2,2963
D2,1,9.1,2758
D2,1,8.8,2624
D2,1,9.2,2499
D2,1,8.5,2423
D2,1,7.2,2356
D2,1,8.4,2163
D2,1,6.8,2064
D2,1,7.6,1919
D2,1,6.4,1869
D2,1,8,1755
D3,1,7,996
D3,1,8.8,852
D3,1,8.2,994
D3,1,7.1,857
D3,1,7.3,859
D3,1,7.3,837
D3,1,7.1,774
D4,1,5.3,1894
D4,1,6.1,1760
D4,1,5.8,1733
D4,1,5.1,1709
D4,1,5.8,1675
D4,1,4.9,1596
D4,1,5.7,1548
D4,1,4.3,1384
D4,1,5.3,1367
D4,1,4.4,1310
D4,1,4.9,1236
D5,2,3.8,1968
D5,2,3.1,1687
D5,2,2.9,1521
D5,2,4,1472
D5,2,2.7,1283
D5,2,2.5,1352
D5,2,2.5,1386
D5,2,2.5,1262
D5,2,2.6,1217
D5,2,2.6,1264
D6,2,3.5,2647
D6,2,4.2,2523
D6,2,4.3,2334
D6,2,3.8,2106
D6,2,4.1,2082
D6,2,4.1,2177
D6,2,3.9,2177
D6,2,3.4,1787
D6,2,3.7,1893
D6,2,3.6,1957
D7,1,5.2,2499
D7,1,7.6,2396
D7,1,7.4,2324
D7,1,7.6,2234
D7,1,7.3,2211
D7,1,5.6,2206
D7,1,7,2152
D7,1,6.4,2077
D7,1,5.5,2095
D7,1,5.5,2098
D8,1,9,2471
D8,1,7.1,2378
D8,1,8.1,2326
D8,1,6.8,2232
D8,1,7.2,2260
D8,1,6.4,2081
D8,1,6.6,1965
D8,1,6.8,1885
D8,1,5.7,1688
D8,1,5.5,1754
D8,1,6.4,1648
D8,1,6.2,1597
D9,2,4.9,2542
D9,2,4.7,2467
D9,2,5,2393
D9,2,5,2366
D9,2,3.3,2350
D9,2,4.8,2382
D9,2,4.2,2136
D9,2,3.8,2114
D9,2,4.3,2232
D9,2,3.9,2013
D9,2,3.8,2028
D9,2,3.6,2096
